index,x,y,z,roll,pitch,yaw
0,-3.62931,5.26543,1.73411,0.325171, 0.623029, -0.617889, -0.352579
1,-3.62941,5.26537,1.73398,0.325475, 0.622982, -0.617799, -0.352539
2,-3.62973,5.26517,1.73361,0.325784, 0.622962, -0.617687, -0.352484
3,-3.63025,5.26485,1.73297,0.326103, 0.622965, -0.617561, -0.352406
4,-3.63098,5.26439,1.73205,0.326412, 0.622985, -0.61742, -0.352331
5,-3.6319,5.26379,1.73084,0.32673, 0.623021, -0.617252, -0.352266
6,-3.63303,5.26306,1.72935,0.327059, 0.623074, -0.617058, -0.352207
7,-3.63437,5.26219,1.72757,0.327398, 0.62316, -0.616823, -0.352153
8,-3.6359,5.26119,1.7255,0.327722, 0.623272, -0.616574, -0.352088
9,-3.63764,5.26005,1.72315,0.328058, 0.623391, -0.61633, -0.351992
10,-3.63958,5.25878,1.72052,0.328392, 0.623529, -0.61607, -0.35189
11,-3.64173,5.25737,1.71761,0.328709, 0.623688, -0.615794, -0.351797
12,-3.64407,5.25582,1.71442,0.329036, 0.623845, -0.615501, -0.351725
13,-3.64662,5.25413,1.71095,0.329347, 0.624008, -0.615209, -0.351657
14,-3.64937,5.2523,1.7072,0.329635, 0.624169, -0.614943, -0.351566
15,-3.65233,5.25032,1.70318,0.329888, 0.624336, -0.614692, -0.351471
16,-3.65549,5.24821,1.69889,0.330102, 0.624493, -0.61448, -0.351364
17,-3.65885,5.24595,1.69433,0.3303, 0.624628, -0.614286, -0.351276
18,-3.66242,5.24356,1.6895,0.330458, 0.624761, -0.614105, -0.351206
19,-3.66619,5.24101,1.6844,0.330601, 0.624878, -0.613941, -0.351151
20,-3.67016,5.23833,1.67904,0.330722, 0.624978, -0.613801, -0.351103
21,-3.67434,5.2355,1.67342,0.330798, 0.625085, -0.613677, -0.351057
22,-3.67873,5.23252,1.66753,0.330857, 0.625174, -0.613585, -0.351005
23,-3.68332,5.22941,1.66137,0.330889, 0.625261, -0.613491, -0.350984
24,-3.68813,5.22615,1.65495,0.330906, 0.625342, -0.613403, -0.350979
25,-3.69313,5.22275,1.64827,0.330909, 0.625426, -0.613308, -0.350992
26,-3.69835,5.21921,1.64132,0.330909, 0.62552, -0.613201, -0.351012
27,-3.70376,5.21553,1.6341,0.330889, 0.62561, -0.6131, -0.351047
28,-3.70939,5.21171,1.62661,0.330875, 0.625702, -0.612995, -0.351079
29,-3.71522,5.20775,1.61885,0.330847, 0.625806, -0.612887, -0.351109
30,-3.72126,5.20365,1.61082,0.33082, 0.625905, -0.612769, -0.351163
31,-3.7275,5.19942,1.60251,0.330787, 0.626016, -0.612646, -0.351212
32,-3.73395,5.19504,1.59394,0.330772, 0.626121, -0.612522, -0.351254
