index,x,y,z,roll,pitch,yaw
0,-3.61323,5.27221,1.73225,0.0198998, -0.00319106, 0.875596, 0.482624
1,-3.70233,5.22848,1.73563,0.0202087, -0.0101984, 0.884893, 0.465244
2,-3.77401,5.18003,1.73845,0.0227506, -0.0185579, 0.892094, 0.450895
3,-3.84016,5.11747,1.73004,0.0269223, -0.0209361, 0.894566, 0.445633
4,-3.91394,5.04207,1.71623,0.0316441, -0.0243095, 0.890103, 0.454009
5,-3.96035,4.98251,1.7188,0.0355333, -0.0182978, 0.887977, 0.458149
6,-3.9981,4.90501,1.73204,0.0321774, -0.0152728, 0.885806, 0.462687
7,-4.07145,4.8426,1.72281,0.0309667, -0.023776, 0.882924, 0.467889
8,-4.12442,4.78618,1.7309,0.0267908, -0.0275639, 0.886558, 0.461018
9,-4.19368,4.74914,1.71318,0.0183313, -0.0324982, 0.895555, 0.443383
10,-4.28972,4.71213,1.72099,0.00748946, -0.0194074, 0.909563, 0.415044
11,-4.4141,4.65053,1.7351,0.00548581, -0.0194693, 0.927769, 0.372607
12,-4.47084,4.57861,1.74078,0.0088048, -0.0221139, 0.942266, 0.334019
13,-4.50771,4.49475,1.74035,0.0252099, -0.0230921, 0.950779, 0.307979
14,-4.51854,4.39633,1.73588,0.0527656, -0.0216905, 0.954023, 0.294253
15,-4.52526,4.29027,1.73712,0.0643871, -0.00293919, 0.957942, 0.279628
16,-4.54115,4.19688,1.73852,0.0616052, -0.00433948, 0.9686, 0.240832
17,-4.5566,4.09039,1.72146,0.063533, -0.0139967, 0.980296, 0.186511
18,-4.59621,3.97937,1.71278,0.0427571, -0.00556916, 0.990592, 0.129879
19,-4.63415,3.84801,1.71164,0.0293861, -0.0134353, 0.995487, 0.0892227
20,-4.64665,3.75065,1.71038,0.0223281, -0.0131225, 0.997257, 0.0693449
21,-4.6207,3.61675,1.69761,0.0297312, -0.00532406, 0.997342, 0.066308
22,-4.58885,3.49539,1.69292,0.0373581, -0.0014568, 0.997969, 0.0515801
23,-4.5657,3.3912,1.69005,0.0344607, -0.00690659, 0.998791, 0.0343678
24,-4.55076,3.28353,1.68663,0.0267776, -0.0185958, 0.999194, -0.0234098
25,-4.53505,3.19648,1.67713,0.0199479, -0.026648, 0.995756, -0.0858054
26,-4.53066,3.09237,1.67152,0.0113325, -0.0156282, 0.983603, -0.179312
27,-4.50915,3.00261,1.67086,0.00528043, -0.0111418, 0.956906, -0.290137
28,-4.46782,2.94561,1.66833,-0.00130385, -0.0185296, 0.919995, -0.391489
29,-4.42327,2.92454,1.66252,-0.0081926, -0.0185258, 0.8763, -0.481339
30,-4.34928,2.93477,1.65981,0.0111951, 0.00512946, -0.852625, 0.522378
31,-4.28488,2.9478,1.65511,0.0182559, -0.00490953, -0.839647, 0.542803
32,-4.22326,2.96233,1.6501,0.0233074, -0.0113097, -0.817831, 0.574874
33,-4.16624,2.96191,1.65346,0.0208864, -0.0063921, -0.77869, 0.627029
34,-4.08913,2.95265,1.64663,0.0196152, 0.00849388, -0.729586, 0.683555
35,-4.02516,2.93603,1.64069,0.0326621, 0.0163064, -0.6768, 0.735261
36,-3.94308,2.93138,1.64064,0.0429196, 0.0156659, -0.612787, 0.788927
37,-3.87457,2.92984,1.64097,0.0474511, 0.0183856, -0.536689, 0.842244
38,-3.80617,2.94411,1.64012,0.0572307, 0.0265867, -0.475009, 0.877716
39,-3.73953,3.00084,1.63053,0.0584796, 0.0312829, -0.452201, 0.889447
40,-3.71732,3.06474,1.63204,0.0679403, 0.00111808, -0.446166, 0.892367
41,-3.67337,3.14968,1.63838,0.0660214, -0.00922279, -0.453514, 0.888753
42,-3.61714,3.21794,1.63672,0.0622406, -0.00242594, -0.445802, 0.892962
43,-3.55503,3.24367,1.63064,0.0616719, 0.00802303, -0.421194, 0.904836
44,-3.47976,3.32347,1.63019,0.0651797, 0.0153004, -0.37528, 0.92449
45,-3.41225,3.36876,1.63568,0.072319, 0.017332, -0.328084, 0.941717
46,-3.3431,3.47576,1.64978,0.0673797, 0.014366, -0.258432, 0.96357
47,-3.30391,3.49678,1.64046,0.0628144, 0.0138266, -0.182611, 0.981079
48,-3.2823,3.55929,1.64668,0.0587087, 0.0108005, -0.129253, 0.989813
49,-3.27029,3.62532,1.63902,0.0532445, 0.00808068, -0.08666, 0.994781
50,-3.26338,3.69332,1.65214,0.0630852, 0.0081863, -0.053283, 0.996551
51,-3.27288,3.77,1.6551,0.0735942, 0.00525633, -0.0341483, 0.99669
52,-3.29262,3.83555,1.65264,0.0828725, 0.00659969, -0.0122851, 0.996463
53,-3.28523,3.88471,1.6685,0.0853643, 0.00781729, 0.0206781, 0.996105
54,-3.28343,3.93594,1.67301,0.0878987, 0.0129121, 0.0616989, 0.994133
55,-3.29018,4.00465,1.68022,0.0824782, 0.0131216, 0.102464, 0.991225
56,-3.27306,4.0777,1.67143,0.0846505, 0.017605, 0.148903, 0.985065
57,-3.27438,4.15582,1.68438,0.0845821, 0.0182844, 0.181081, 0.979654
58,-3.27849,4.22428,1.69199,0.088205, 0.0160384, 0.205981, 0.974441
59,-3.29185,4.28634,1.69669,0.0869701, 0.0146277, 0.24991, 0.964245
60,-3.31549,4.32809,1.71581,0.0774697, 0.0127158, 0.291415, 0.95337
61,-3.36604,4.39016,1.70727,0.0760346, 0.0103135, 0.334303, 0.939337
62,-3.41713,4.42544,1.71011,0.077199, 0.0070719, 0.369462, 0.926007
63,-3.4725,4.45213,1.72047,0.0799677, 0.00625973, 0.40433, 0.911089
64,-3.53069,4.46694,1.7324,0.077505, 0.00836598, 0.450359, 0.889438
65,-3.57498,4.48099,1.73241,0.0697588, 0.00961966, 0.501087, 0.862527
66,-3.63312,4.49565,1.74035,0.0639711, 0.00882903, 0.550559, 0.832294
67,-3.67295,4.50355,1.74174,0.057029, 0.00339516, 0.591973, 0.803931
68,-3.72452,4.51746,1.74001,0.0527368, 0.00216699, 0.63505, 0.770666
69,-3.78218,4.53227,1.74463,0.0525669, 0.00849992, 0.674019, 0.736792
70,-3.84727,4.53917,1.75316,0.0510517, 0.0117702, 0.703471, 0.70879
71,-3.90558,4.54101,1.75803,0.0521812, 0.00858947, 0.727921, 0.683618
72,-3.95727,4.52917,1.75752,0.0566711, 0.00394408, 0.754011, 0.654401
73,-3.99958,4.52605,1.75735,0.0592131, 0.00895185, 0.777311, 0.62626
